pais,polo_cultural,latitude,longitude,titulo,ano,sinopse
Estados Unidos,Hollywood,34.0522,-118.2437,Vingadores: Ultimato,2019,"Os heróis sobreviventes se reúnem para reverter as ações de Thanos e restaurar o equilíbrio do universo."
Estados Unidos,Hollywood,34.0522,-118.2437,Top Gun: Maverick,2022,"Após trinta anos, Maverick é o instrutor de uma nova geração de pilotos de caça da Marinha americana."
Coreia do Sul,Seul,37.5665,126.9780,Parasita,2019,"A ganância e a discriminação de classe ameaçam a recém-formada relação simbiótica entre a rica família Park e o clã Kim."
Coreia do Sul,Seul,37.5665,126.9780,Invasão Zumbi,2016,"Enquanto um vírus zumbi assola a Coreia do Sul, passageiros lutam para sobreviver em um trem de Seul para Busan."
França,Paris,48.8566,2.3522,O Fabuloso Destino de Amélie Poulain,2001,"Uma jovem garçonete parisiense decide ajudar as pessoas ao seu redor e acaba descobrindo o amor."
França,Paris,48.8566,2.3522,Intocáveis,2011,"Um aristocrata tetraplégico contrata um jovem de um bairro pobre para ser seu cuidador, criando uma amizade improvável."
Brasil,Rio de Janeiro,-22.9068,-43.1729,Cidade de Deus,2002,"O crescimento do crime organizado na Cidade de Deus, favela do Rio de Janeiro, através dos olhos de um jovem fotógrafo."
Brasil,Rio de Janeiro,-22.9068,-43.1729,Central do Brasil,1998,"Uma ex-professora amargurada ajuda um menino a encontrar seu pai no interior do Nordeste brasileiro."
Japão,Tóquio,35.6895,139.6917,A Viagem de Chihiro,2001,"Uma garota de 10 anos se perde em um mundo mágico dominado por deuses, bruxas e espíritos."
Japão,Tóquio,35.6895,139.6917,Godzilla Minus One,2023,"No Japão pós-Segunda Guerra Mundial, um novo terror emerge das profundezas do oceano."
